Economy,DB2008,DB2009,DB2010,DB2011,DB2012,DB2013,DB2014,DB2015,DB2016,DB2017,DB2018
Afghanistan,80.3,83.4,87.3,87.8,87.9,88.3,91.6,91,90.5,90.4,82.6
Albania,68.2,82,87.2,87.3,87.6,90.2,90.3,91.7,91.7,91.4,91.5
Algeria,72.5,73.3,73.5,73.2,73.5,73.7,73.6,74.6,76.6,78,77.9
Angola,34.9,45.7,52,46.5,51.3,53.8,55.6,57.1,77.5,79.7,78.6
Antigua and Barbuda,81.4,81.4,81.7,81.5,81.3,81.5,81.6,81.6,81.7,81.7,81.7
Argentina,72.4,71.1,72.1,71.7,72.2,72.6,71.6,72.4,73.3,73.5,73.6
Armenia,83.3,83.5,88.9,88.9,93.3,93.4,94.3,94.3,94.3,94.3,94.3
Australia,96.3,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5
Austria,79.4,79.6,79.7,79.6,79.6,79.9,80,82.8,82.8,83.1,83.1
Azerbaijan,74,89.7,89.9,90.4,90.4,90.5,95.3,93.9,96.1,96.1,96.1
"Bahamas, The",82.4,82.4,82.6,84.1,84.1,84.1,84.1,84.1,81.3,82.7,84.2
Bahrain,72.1,75,75.9,74.2,71.8,73.7,73.9,76.1,76.2,89.5,89.6
Bangladesh,0,0,0,0,0,0,80.5,81.4,81.7,81.5,80.6
Bangladesh - Chittagong,0,0,0,0,0,0,81.1,81.4,81.7,81.5,80.6
Bangladesh - Dhaka,63.9,68.2,73.6,78.8,79,79,80.3,81.4,81.7,81.5,80.6
Barbados,0,0,0,0,84.4,84.4,84.4,85.6,85.6,86.3,86.3
Belarus,70.1,78.5,87.8,87.8,87.8,87.7,89.6,89.6,91.9,91.9,91.9
Belgium,91.1,91.2,91.2,91.2,91.2,91.3,91.3,91.3,91.4,91.4,91.4
Belize,72.9,73,73.1,73.1,73,73,73.1,73.3,73.3,73.2,72
Benin,30.7,31,39.6,40.4,43.2,49.3,54.3,80,81.4,90.6,90.6
Bhutan,76.7,77.4,77.4,77.5,80.3,80.3,81.7,85.5,85.6,85.6,86.3
Bolivia,52.6,55.4,57,56.8,58,59.9,60.2,61.1,62.3,63.5,67.8
Bosnia and Herzegovina,52.6,51.4,53.7,50.4,54.3,56.8,56.9,56.9,57.1,58.7,59.6
