Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Gross national expenditure (current LCU),NE.DAB.TOTL.CN," 5,430,000,000.00 "," 5,032,000,000.00 "," 4,987,000,000.00 "," 5,293,000,000.00 "," 5,317,000,000.00 "," 5,343,000,000.00 "," 5,319,000,000.00 "," 5,259,000,000.00 "," 5,285,000,000.00 "," 5,377,000,000.00 ",,,
Afghanistan,AFG,Gross national expenditure (current LCU),NE.DAB.TOTL.CN," 765,094,000,000.00 "," 805,200,000,000.00 "," 962,267,000,000.00 "," 1,070,860,000,000.00 "," 1,192,090,000,000.00 "," 1,286,450,000,000.00 "," 1,333,480,000,000.00 "," 1,424,590,000,000.00 "," 1,483,140,000,000.00 "," 1,540,820,000,000.00 "," 1,573,900,000,000.00 "," 1,626,280,000,000.00 ",
Angola,AGO,Gross national expenditure (current LCU),NE.DAB.TOTL.CN," 5,076,500,000,000.00 "," 5,852,390,000,000.00 "," 6,241,220,000,000.00 "," 8,258,210,000,000.00 "," 9,770,160,000,000.00 "," 11,257,700,000,000.00 "," 12,883,300,000,000.00 "," 14,421,700,000,000.00 "," 16,073,100,000,000.00 "," 19,096,900,000,000.00 "," 21,708,100,000,000.00 ",,
Albania,ALB,Gross national expenditure (current LCU),NE.DAB.TOTL.CN," 1,396,790,000,000.00 "," 1,447,420,000,000.00 "," 1,482,310,000,000.00 "," 1,569,690,000,000.00 "," 1,561,260,000,000.00 "," 1,608,010,000,000.00 "," 1,645,260,000,000.00 "," 1,687,100,000,000.00 "," 1,729,490,000,000.00 "," 1,801,860,000,000.00 ",,,
Andorra,AND,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,
Arab World,ARB,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,
United Arab Emirates,ARE,Gross national expenditure (current LCU),NE.DAB.TOTL.CN," 1,051,730,000,000.00 "," 876,730,000,000.00 "," 844,932,000,000.00 "," 920,957,000,000.00 "," 877,086,000,000.00 "," 919,493,000,000.00 "," 1,027,050,000,000.00 "," 966,451,000,000.00 "," 980,048,000,000.00 "," 1,073,640,000,000.00 "," 1,141,730,000,000.00 "," 1,175,810,000,000.00 ",
Argentina,ARG,Gross national expenditure (current LCU),NE.DAB.TOTL.CN," 1,106,890,000,000.00 "," 1,184,720,000,000.00 "," 1,613,590,000,000.00 "," 2,142,150,000,000.00 "," 2,586,500,000,000.00 "," 3,351,640,000,000.00 "," 4,560,580,000,000.00 "," 6,018,520,000,000.00 "," 8,313,710,000,000.00 "," 10,936,200,000,000.00 "," 14,918,300,000,000.00 "," 21,176,900,000,000.00 ",
Armenia,ARM,Gross national expenditure (current LCU),NE.DAB.TOTL.CN," 4,732,570,000,000.00 "," 4,334,730,000,000.00 "," 4,744,470,000,000.00 "," 4,980,740,000,000.00 "," 5,264,900,000,000.00 "," 5,529,140,000,000.00 "," 5,722,160,000,000.00 "," 5,644,950,000,000.00 "," 5,511,490,000,000.00 "," 6,212,100,000,000.00 "," 6,958,820,000,000.00 "," 7,514,160,000,000.00 ",
American Samoa,ASM,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,
Australia,AUS,Gross national expenditure (current LCU),NE.DAB.TOTL.CN," 1,207,300,000,000.00 "," 1,257,480,000,000.00 "," 1,314,610,000,000.00 "," 1,402,930,000,000.00 "," 1,503,190,000,000.00 "," 1,556,220,000,000.00 "," 1,605,370,000,000.00 "," 1,649,370,000,000.00 "," 1,698,500,000,000.00 "," 1,752,760,000,000.00 "," 1,842,160,000,000.00 "," 1,902,830,000,000.00 ",
Austria,AUT,Gross national expenditure (current LCU),NE.DAB.TOTL.CN," 280,733,000,000.00 "," 279,233,000,000.00 "," 285,843,000,000.00 "," 302,117,000,000.00 "," 310,042,000,000.00 "," 315,172,000,000.00 "," 322,255,000,000.00 "," 331,359,000,000.00 "," 343,591,000,000.00 "," 357,240,000,000.00 "," 371,036,000,000.00 "," 383,721,000,000.00 ",
Azerbaijan,AZE,Gross national expenditure (current LCU),NE.DAB.TOTL.CN," 24,332,900,000.00 "," 25,928,100,000.00 "," 29,005,100,000.00 "," 35,235,600,000.00 "," 39,587,200,000.00 "," 45,291,300,000.00 "," 49,473,600,000.00 "," 52,755,100,000.00 "," 58,746,500,000.00 "," 65,629,900,000.00 "," 67,867,200,000.00 "," 71,621,700,000.00 ",
Burundi,BDI,Gross national expenditure (current LCU),NE.DAB.TOTL.CN," 2,411,860,000,000.00 "," 2,686,790,000,000.00 "," 3,003,760,000,000.00 "," 3,535,700,000,000.00 "," 4,183,700,000,000.00 "," 4,895,250,000,000.00 "," 5,256,360,000,000.00 "," 5,368,420,000,000.00 "," 5,397,970,000,000.00 "," 6,043,840,000,000.00 "," 6,239,020,000,000.00 "," 6,528,850,000,000.00 ",
Belgium,BEL,Gross national expenditure (current LCU),NE.DAB.TOTL.CN," 349,377,000,000.00 "," 338,636,000,000.00 "," 356,958,000,000.00 "," 376,340,000,000.00 "," 385,932,000,000.00 "," 389,745,000,000.00 "," 399,704,000,000.00 "," 410,793,000,000.00 "," 425,095,000,000.00 "," 439,736,000,000.00 "," 460,282,000,000.00 "," 472,304,000,000.00 ",
Benin,BEN,Gross national expenditure (current LCU),NE.DAB.TOTL.CN," 4,517,850,000,000.00 "," 4,801,990,000,000.00 "," 4,967,470,000,000.00 "," 5,317,260,000,000.00 "," 5,855,710,000,000.00 "," 6,433,510,000,000.00 "," 6,717,190,000,000.00 "," 7,225,350,000,000.00 "," 7,269,560,000,000.00 "," 7,896,400,000,000.00 "," 8,489,750,000,000.00 "," 8,804,980,000,000.00 ",
Burkina Faso,BFA,Gross national expenditure (current LCU),NE.DAB.TOTL.CN," 4,874,730,000,000.00 "," 5,033,870,000,000.00 "," 5,419,040,000,000.00 "," 6,004,630,000,000.00 "," 6,946,620,000,000.00 "," 7,322,730,000,000.00 "," 7,240,850,000,000.00 "," 7,435,760,000,000.00 "," 7,908,120,000,000.00 "," 8,722,630,000,000.00 "," 9,362,060,000,000.00 "," 9,661,230,000,000.00 ",
Bangladesh,BGD,Gross national expenditure (current LCU),NE.DAB.TOTL.CN," 6,727,710,000,000.00 "," 7,464,850,000,000.00 "," 8,408,980,000,000.00 "," 9,780,950,000,000.00 "," 11,294,800,000,000.00 "," 12,751,000,000,000.00 "," 14,308,500,000,000.00 "," 16,177,900,000,000.00 "," 18,138,700,000,000.00 "," 20,781,900,000,000.00 "," 24,395,200,000,000.00 "," 27,157,900,000,000.00 ",
