Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,
Afghanistan,AFG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,6.08796493,8.481758361,9.169751919,8.916793996,7.707800603,7.12277329,6.882102943,7.585382331,8.842616158,9.250468049,,,
Angola,AGO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,25.65014974,18.36108008,16.59994635,16.10341268,14.82271932,14.18476314,13.54263016,11.00201914,9.732512234,9.223777454,,,
Albania,ALB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,18.02201217,17.48323382,16.50327489,18.30194099,18.51579605,17.59022838,18.88748601,18.5574754,,
Andorra,AND,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,
Arab World,ARB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,6.157213351,6.097777342,,5.1461105,5.314465083,,,,,
United Arab Emirates,ARE,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,0.321413865,0.36378634,0.370450572,0.35572315,0.057734024,0.043494701,0.066457191,0.059310281,,
Argentina,ARG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,13.31784636,12.38304156,12.85304269,12.6636277,12.95284151,12.45290276,12.61096661,12.33650694,12.09728364,10.95550149,10.08749931,,
Armenia,ARM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,17.32175873,16.50586323,17.0700514,17.21941905,17.49164208,21.58621388,21.59917455,20.93122083,21.27737528,20.78065336,20.8701039,,
American Samoa,ASM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,
Australia,AUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,24.25531698,22.04365371,20.52695527,20.35031222,21.11709698,21.95811124,21.90887878,21.8654919,22.23447264,22.03175615,23.09820096,23.39878988,
