Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Secondary education, general pupils",SE.SEC.ENRL.GC,5921,6201,6200,6281,7289,7481,7643,,,,,,
Afghanistan,AFG,"Secondary education, general pupils",SE.SEC.ENRL.GC,1415293,1693479,2032719,2190878,2392465,2508900,2577715,2624473,2699792,2875687,3041987,,
Angola,AGO,"Secondary education, general pupils",SE.SEC.ENRL.GC,393699,408364,487529,484717,,,,,1746550,,,,
Albania,ALB,"Secondary education, general pupils",SE.SEC.ENRL.GC,376901,332929,335865,336461,330089,322077,306610,292278,272891,259397,248267,,
Andorra,AND,"Secondary education, general pupils",SE.SEC.ENRL.GC,3589,3602,3692,3789,3883,3921,3956,4004,4006,4053,4025,,
Arab World,ARB,"Secondary education, general pupils",SE.SEC.ENRL.GC,26100000,27000000,27600000,28500000,28900000,28300000,28100000,28400000,28700000,29200000,29800000,,
United Arab Emirates,ARE,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,,,,433144,520274,,,
Argentina,ARG,"Secondary education, general pupils",SE.SEC.ENRL.GC,3963715,4106048,4213136,4279426,4346391,4406046,4450741,4501734,4583002,4612663,,,
Armenia,ARM,"Secondary education, general pupils",SE.SEC.ENRL.GC,306558,300253,291127,234176,,228070,217929,215010,215917,,215307,,
American Samoa,ASM,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Secondary education, general pupils",SE.SEC.ENRL.GC,8114,7966,7841,7973,7907,,7752,7797,,7577,7574,,
Australia,AUS,"Secondary education, general pupils",SE.SEC.ENRL.GC,1511370,1527779,1533093,1542054,1552108,1566087,1577750,1653634,1668260,1679751,,,
Austria,AUT,"Secondary education, general pupils",SE.SEC.ENRL.GC,470889,460934,449729,438879,430657,446948.5333,443882.9167,442411.3354,445740.4197,449201.0833,,,
Azerbaijan,AZE,"Secondary education, general pupils",SE.SEC.ENRL.GC,995320,941273,886337,844759,802580,777179,762004,760526,762999,775092,792449,,
Burundi,BDI,"Secondary education, general pupils",SE.SEC.ENRL.GC,230572,275160,322112,362111,402733,464709,546282,615946,672472,598006,606024,,
Belgium,BEL,"Secondary education, general pupils",SE.SEC.ENRL.GC,476189,472219,484368,484925,484891,652569,656711,668179,651048,661906,,,
Benin,BEN,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,699101,,846328,873090,941689,965124,,,,
Burkina Faso,BFA,"Secondary education, general pupils",SE.SEC.ENRL.GC,397933,441781,511585,578291,648956,732715,813654,935561,1028133,1132340,1252441,,
Bangladesh,BGD,"Secondary education, general pupils",SE.SEC.ENRL.GC,9692260,10539656,10961531,11178900,11758695,12884519,,13964691,15160895,14702156,15112531,,
Bulgaria,BGR,"Secondary education, general pupils",SE.SEC.ENRL.GC,417775,390423,371857,365043,360862,354985,351279,346266,343688,344423,,,
Bahrain,BHR,"Secondary education, general pupils",SE.SEC.ENRL.GC,65849,69974,73548,76149,76937,81896,83000,85788,89302,91304,92483,,
"Bahamas, The",BHS,"Secondary education, general pupils",SE.SEC.ENRL.GC,34399,34274,34406,32973,33351,29939,31681,25766,28384,30740,26884,,
Bosnia and Herzegovina,BIH,"Secondary education, general pupils",SE.SEC.ENRL.GC,220709,223674,213342,203279,191118,186742,181175,171322,163103,156861,153157,,
Belarus,BLR,"Secondary education, general pupils",SE.SEC.ENRL.GC,772562,721131,648875,608469,586324,572580,562517,559067,558596,559300,566765,,
Belize,BLZ,"Secondary education, general pupils",SE.SEC.ENRL.GC,29807,30405,31458,32103,33671,35574,35877,36045,37305,36524,37052,,
Bermuda,BMU,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,4418,4320,4224,4175,4093,4040,,,,,
Bolivia,BOL,"Secondary education, general pupils",SE.SEC.ENRL.GC,422199,420811,435119,431731,445729,462713,465150,452589,443481,437060,445168,,
Brazil,BRA,"Secondary education, general pupils",SE.SEC.ENRL.GC,22516085,22384267,22215054,21982889,21637503,24006493,23326279,22607924,22559870,22161547,,,
Barbados,BRB,"Secondary education, general pupils",SE.SEC.ENRL.GC,20337,19928,19497,19696,,,20603,20554,20370,20249,19571,,
Brunei Darussalam,BRN,"Secondary education, general pupils",SE.SEC.ENRL.GC,43345,44430,44806,45626,46432,44877,43387,41735,40731,39992,38822,,
Bhutan,BTN,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,,72822,72111,72906,73908,74638,,
Botswana,BWA,"Secondary education, general pupils",SE.SEC.ENRL.GC,168220,171986,,,172669,174853,187030,169489,,,,,
Central African Republic,CAF,"Secondary education, general pupils",SE.SEC.ENRL.GC,79832,89074,,120617,122057,,,,114025,132695,,,
Canada,CAN,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,2618344,2578028,2537635,2518351,2515904,2524610,,,
Central Europe and the Baltics,CEB,"Secondary education, general pupils",SE.SEC.ENRL.GC,6621736,6315840,6065042,5858606,5653845,5810296,5640578,5483965,5380718,5320959,5281663,,
Switzerland,CHE,"Secondary education, general pupils",SE.SEC.ENRL.GC,402131,397977,396160,397849,396115,386508,,383955,381380,382503,,,
Channel Islands,CHI,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,,,,,,,,
Chile,CHL,"Secondary education, general pupils",SE.SEC.ENRL.GC,1209721,1169909,1162153,1138936,1118958,1236076,1234177,1234791,1229882,1227967,,,
China,CHN,"Secondary education, general pupils",SE.SEC.ENRL.GC,82541838,80614978,78798728,77152865,75307817,73184068,69457941,68571877,67386565,67415104,68394471,,
Cote d'Ivoire,CIV,"Secondary education, general pupils",SE.SEC.ENRL.GC,851267,929606,,999932,1132464,1215672,1321556,1478964,1621874,1791183,1923876,,
Cameroon,CMR,"Secondary education, general pupils",SE.SEC.ENRL.GC,912471,1009787,,1252592,1353939,1429310,1555943,1648060,1729686,,,,
"Congo, Dem. Rep.",COD,"Secondary education, general pupils",SE.SEC.ENRL.GC,2528527,2781558,2797329,,3161341,3250288,3566871,3747934,,,,,
"Congo, Rep.",COG,"Secondary education, general pupils",SE.SEC.ENRL.GC,263449,266852,283745,285384,304914,,,,,,,,
