Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,
Afghanistan,AFG,Time required to start a business (days),IC.REG.DURS,10.5,9.5,9.5,9.5,9.5,6.5,8.5,8.5,8.5,8.5,8.5,8.5,
Angola,AGO,Time required to start a business (days),IC.REG.DURS,68,68,66,66,66,66,66,36,36,36,36,36,
Albania,ALB,Time required to start a business (days),IC.REG.DURS,10,6,6,6,5,5,5,5,5,5,4.5,4.5,
Andorra,AND,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,
Arab World,ARB,Time required to start a business (days),IC.REG.DURS,22.27,21.615,21.64,21.085,21.84285714,20.6047619,19.60952381,22.2,23.30909091,21.55909091,20.67272727,19.65454545,
United Arab Emirates,ARE,Time required to start a business (days),IC.REG.DURS,18.2,15.2,15.2,13.2,8.2,8.2,8.3,8.3,8.3,8.3,3.8,3.8,
Argentina,ARG,Time required to start a business (days),IC.REG.DURS,30,25,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,11,11.5,
Armenia,ARM,Time required to start a business (days),IC.REG.DURS,17,14,14,8,8,5,5,5,5,5,4,4,
American Samoa,ASM,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Time required to start a business (days),IC.REG.DURS,22,22,22,22,22,22,22,22,22,22,22,19,
Australia,AUS,Time required to start a business (days),IC.REG.DURS,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,
Austria,AUT,Time required to start a business (days),IC.REG.DURS,25,25,25,25,25,25,22,22,21,21,21,21,
Azerbaijan,AZE,Time required to start a business (days),IC.REG.DURS,10,10,8,8,8,7,5.5,3.5,3.5,3.5,3.5,3.5,
Burundi,BDI,Time required to start a business (days),IC.REG.DURS,13,13,13,13,7,5,5,4,4,4,5,5,
Belgium,BEL,Time required to start a business (days),IC.REG.DURS,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,
Benin,BEN,Time required to start a business (days),IC.REG.DURS,34.5,34.5,34.5,32.5,29.5,18.5,12.5,12.5,8.5,8.5,8.5,8.5,
Burkina Faso,BFA,Time required to start a business (days),IC.REG.DURS,16,14,14,13,13,13,13,13,13,13,13,13,
Bangladesh,BGD,Time required to start a business (days),IC.REG.DURS,,,,,,21.8,19.5,19.5,19.5,19.5,19.5,19.5,
Bulgaria,BGR,Time required to start a business (days),IC.REG.DURS,56,25,25,25,25,25,25,25,23,23,23,23,
Bahrain,BHR,Time required to start a business (days),IC.REG.DURS,9.4,9.3,9.3,9.3,9.3,9.3,9.3,9.4,8.3,8.3,8.3,8.3,
"Bahamas, The",BHS,Time required to start a business (days),IC.REG.DURS,30.5,30.5,23.5,23.5,23.5,23.5,23.5,28.5,21.5,21.5,21.5,11.5,
Bosnia and Herzegovina,BIH,Time required to start a business (days),IC.REG.DURS,99,99,109,85,82,82,82,82,80,80,80,80,
Belarus,BLR,Time required to start a business (days),IC.REG.DURS,32,13,13,13,13,12,12,9,9,9,9,8.5,
Belize,BLZ,Time required to start a business (days),IC.REG.DURS,43,43,43,43,43,43,43,43,43,48,48,48,
Bermuda,BMU,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,
Bolivia,BOL,Time required to start a business (days),IC.REG.DURS,49,49,49,49,49,49,49,49,45,41,39.5,39.5,
Brazil,BRA,Time required to start a business (days),IC.REG.DURS,,,,,,86.6,83.6,86,82.5,82.5,20.1,16.6,
Barbados,BRB,Time required to start a business (days),IC.REG.DURS,,,,18,18,18,19,19,16,16,16,16,
Brunei Darussalam,BRN,Time required to start a business (days),IC.REG.DURS,121.5,121.5,108.5,104.5,104.5,104.5,104.5,14.5,14.5,12.5,5.5,5.5,
Bhutan,BTN,Time required to start a business (days),IC.REG.DURS,46,46,46,35,35,30,15,15,15,12,12,12,
Botswana,BWA,Time required to start a business (days),IC.REG.DURS,74,59,59,40,40,41,48,48,48,48,48,48,
Central African Republic,CAF,Time required to start a business (days),IC.REG.DURS,23,24,24,22,22,22,22,22,22,22,22,22,
Canada,CAN,Time required to start a business (days),IC.REG.DURS,5.5,5.5,5.5,5.5,5.5,5.5,5.5,1.5,1.5,1.5,1.5,1.5,
Central Europe and the Baltics,CEB,Time required to start a business (days),IC.REG.DURS,24.5,19.45454545,18.90909091,19.09090909,18.90909091,17.90909091,16.81818182,16.09090909,15.72727273,15.72727273,18,15.90909091,
Switzerland,CHE,Time required to start a business (days),IC.REG.DURS,18,18,18,18,18,18,10,10,10,10,10,10,
Channel Islands,CHI,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,
Chile,CHL,Time required to start a business (days),IC.REG.DURS,40,40,36.5,9.5,7.5,7.5,7.5,7.5,7.5,7.5,6,4,
China,CHN,Time required to start a business (days),IC.REG.DURS,,,,,,32.3,29.3,29.3,26.9,22.9,8.5,8.5,
Cote d'Ivoire,CIV,Time required to start a business (days),IC.REG.DURS,40,40,40,32,32,8,7,7,7,8,6,6,
Cameroon,CMR,Time required to start a business (days),IC.REG.DURS,38.5,35.5,20.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,13.5,
"Congo, Dem. Rep.",COD,Time required to start a business (days),IC.REG.DURS,132.5,126.5,84.5,65.5,58.5,31.5,16.5,11.5,11.5,7,7,7,
