Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 3,842,000,000.00 "," 3,412,000,000.00 "," 3,319,000,000.00 "," 3,824,000,000.00 "," 3,740,000,000.00 "," 4,206,000,000.00 "," 4,208,000,000.00 "," 3,875,000,000.00 "," 3,761,000,000.00 "," 3,919,000,000.00 ",,,
Afghanistan,AFG,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,," 200,000,000,000.00 "," 264,326,000,000.00 "," 344,226,000,000.00 "," 504,970,000,000.00 "," 556,893,000,000.00 "," 473,613,000,000.00 "," 519,743,000,000.00 "," 497,337,000,000.00 "," 542,010,000,000.00 "," 577,539,000,000.00 "," 561,511,000,000.00 ",
Angola,AGO,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 3,247,910,000,000.00 "," 3,552,140,000,000.00 "," 3,279,400,000,000.00 "," 4,128,190,000,000.00 "," 4,383,860,000,000.00 "," 4,758,760,000,000.00 "," 4,961,480,000,000.00 "," 4,622,280,000,000.00 "," 4,178,050,000,000.00 "," 4,711,540,000,000.00 "," 6,545,770,000,000.00 ",,
Albania,ALB,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 563,565,000,000.00 "," 570,300,000,000.00 "," 602,021,000,000.00 "," 676,026,000,000.00 "," 634,054,000,000.00 "," 633,950,000,000.00 "," 658,512,000,000.00 "," 638,749,000,000.00 "," 674,866,000,000.00 "," 722,980,000,000.00 "," 740,384,000,000.00 "," 758,882,000,000.00 ",
Andorra,AND,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,,,,,,,,,,,,,
Arab World,ARB,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,,,,,,,,,,,,,
United Arab Emirates,ARE,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 806,901,000,000.00 "," 687,271,000,000.00 "," 655,948,000,000.00 "," 793,161,000,000.00 "," 880,477,000,000.00 "," 927,341,000,000.00 "," 1,020,550,000,000.00 "," 977,900,000,000.00 "," 993,200,000,000.00 "," 1,067,900,000,000.00 "," 1,033,940,000,000.00 "," 1,059,140,000,000.00 ",
Argentina,ARG,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 210,865,000,000.00 "," 180,902,000,000.00 "," 266,493,000,000.00 "," 365,138,000,000.00 "," 376,923,000,000.00 "," 492,762,000,000.00 "," 641,132,000,000.00 "," 701,476,000,000.00 "," 1,116,300,000,000.00 "," 1,488,210,000,000.00 "," 2,398,260,000,000.00 "," 3,269,950,000,000.00 ",
Armenia,ARM,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 1,437,160,000,000.00 "," 1,338,450,000,000.00 "," 1,553,440,000,000.00 "," 1,772,320,000,000.00 "," 2,064,970,000,000.00 "," 2,195,680,000,000.00 "," 2,271,700,000,000.00 "," 2,111,530,000,000.00 "," 2,167,280,000,000.00 "," 2,754,460,000,000.00 "," 3,212,090,000,000.00 "," 3,475,670,000,000.00 ",
American Samoa,ASM,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 754,000,000.00 "," 556,000,000.00 "," 537,000,000.00 "," 559,000,000.00 "," 643,000,000.00 "," 641,000,000.00 "," 679,000,000.00 "," 658,000,000.00 "," 635,000,000.00 "," 616,000,000.00 "," 632,000,000.00 ",,
Antigua and Barbuda,ATG,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 2,570,961,300.00 "," 1,907,488,200.00 "," 1,833,110,700.00 "," 1,731,692,800.00 "," 1,895,353,900.00 "," 1,946,127,700.00 "," 2,005,000,000.00 "," 1,810,118,500.00 "," 1,854,094,500.00 ",,,,
Australia,AUS,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 267,352,000,000.00 "," 287,226,000,000.00 "," 271,168,000,000.00 "," 289,987,000,000.00 "," 325,825,000,000.00 "," 326,500,000,000.00 "," 343,157,000,000.00 "," 349,444,000,000.00 "," 357,495,000,000.00 "," 362,898,000,000.00 "," 395,645,000,000.00 "," 419,732,000,000.00 ",
Austria,AUT,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 143,429,000,000.00 "," 120,560,000,000.00 "," 141,313,000,000.00 "," 158,644,000,000.00 "," 163,082,000,000.00 "," 163,980,000,000.00 "," 166,963,000,000.00 "," 169,856,000,000.00 "," 173,711,000,000.00 "," 187,871,000,000.00 "," 200,703,000,000.00 "," 207,327,000,000.00 ",
Azerbaijan,AZE,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 9,418,900,000.00 "," 8,226,900,000.00 "," 8,782,300,000.00 "," 12,541,900,000.00 "," 13,843,800,000.00 "," 15,278,600,000.00 "," 15,467,400,000.00 "," 18,927,900,000.00 "," 26,375,400,000.00 "," 29,439,500,000.00 "," 30,098,800,000.00 "," 30,111,100,000.00 ",
