Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Afghanistan,AFG,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Angola,AGO,Gini index (World Bank estimate),SI.POV.GINI,42.7,,,,,,,,,,51.3,,
Albania,ALB,Gini index (World Bank estimate),SI.POV.GINI,30,,,,29,,34.6,32.9,33.7,33.2,,,
Andorra,AND,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Arab World,ARB,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
United Arab Emirates,ARE,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,32.5,,,,,,
Argentina,ARG,Gini index (World Bank estimate),SI.POV.GINI,45.3,44.1,44.5,42.7,41.4,41,41.7,,42,41.2,41.4,,
Armenia,ARM,Gini index (World Bank estimate),SI.POV.GINI,29.2,28,30,29.4,29.6,30.6,31.5,32.4,32.5,33.6,34.4,,
American Samoa,ASM,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Australia,AUS,Gini index (World Bank estimate),SI.POV.GINI,35.4,,34.7,,,,34.4,,,,,,
Austria,AUT,Gini index (World Bank estimate),SI.POV.GINI,30.4,31.5,30.3,30.8,30.5,30.8,30.5,30.5,30.8,29.7,,,
Azerbaijan,AZE,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Burundi,BDI,Gini index (World Bank estimate),SI.POV.GINI,,,,,,38.6,,,,,,,
Belgium,BEL,Gini index (World Bank estimate),SI.POV.GINI,28.4,28.6,28.4,28.1,27.5,27.7,28.1,27.7,27.6,27.4,,,
Benin,BEN,Gini index (World Bank estimate),SI.POV.GINI,,,,43.4,,,,47.8,,,,,
Burkina Faso,BFA,Gini index (World Bank estimate),SI.POV.GINI,,39.8,,,,,35.3,,,,,,
Bangladesh,BGD,Gini index (World Bank estimate),SI.POV.GINI,,,32.1,,,,,,32.4,,,,
Bulgaria,BGR,Gini index (World Bank estimate),SI.POV.GINI,33.6,33.8,35.7,34.3,36,36.6,37.4,38.6,40.6,40.4,,,
Bahrain,BHR,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
"Bahamas, The",BHS,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Gini index (World Bank estimate),SI.POV.GINI,,,,33,,,,,,,,,
Belarus,BLR,Gini index (World Bank estimate),SI.POV.GINI,27.8,27.7,28.6,27.2,26.5,26.6,27.2,25.6,25.3,25.4,25.2,,
Belize,BLZ,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Bermuda,BMU,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Bolivia,BOL,Gini index (World Bank estimate),SI.POV.GINI,50.8,49.2,,46.1,46.6,47.6,47.8,46.7,44.6,44,42.2,,
Brazil,BRA,Gini index (World Bank estimate),SI.POV.GINI,54,53.7,,52.9,53.5,52.8,52.1,51.9,53.3,53.3,53.9,,
Barbados,BRB,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Brunei Darussalam,BRN,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Bhutan,BTN,Gini index (World Bank estimate),SI.POV.GINI,,,,,38.8,,,,,37.4,,,
Botswana,BWA,Gini index (World Bank estimate),SI.POV.GINI,,60.5,,,,,,53.3,,,,,
Central African Republic,CAF,Gini index (World Bank estimate),SI.POV.GINI,56.2,,,,,,,,,,,,
Canada,CAN,Gini index (World Bank estimate),SI.POV.GINI,,,33.6,,,33.8,,,,33.3,,,
Central Europe and the Baltics,CEB,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Switzerland,CHE,Gini index (World Bank estimate),SI.POV.GINI,33.8,32.9,32.6,31.7,31.6,32.5,32.5,32.3,33,32.7,,,
Channel Islands,CHI,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Chile,CHL,Gini index (World Bank estimate),SI.POV.GINI,,47,,46,,45.8,,44.4,,44.4,,,
China,CHN,Gini index (World Bank estimate),SI.POV.GINI,43,,43.7,42.4,42.2,39.7,39.2,38.6,38.5,,,,
Cote d'Ivoire,CIV,Gini index (World Bank estimate),SI.POV.GINI,43.2,,,,,,,41.5,,,,,
Cameroon,CMR,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,46.6,,,,,,
"Congo, Dem. Rep.",COD,Gini index (World Bank estimate),SI.POV.GINI,,,,,42.1,,,,,,,,
"Congo, Rep.",COG,Gini index (World Bank estimate),SI.POV.GINI,,,,48.9,,,,,,,,,
Colombia,COL,Gini index (World Bank estimate),SI.POV.GINI,55.5,54.4,54.7,53.5,52.7,52.8,52.7,51.1,50.8,49.7,50.4,,
Comoros,COM,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,45.3,,,,,,
Cabo Verde,CPV,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,42.4,,,,,
Costa Rica,CRI,Gini index (World Bank estimate),SI.POV.GINI,48.7,50.6,48.2,48.7,48.6,49.3,48.6,48.4,48.7,48.3,48,,
Caribbean small states,CSS,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Cuba,CUB,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Curacao,CUW,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Cayman Islands,CYM,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Cyprus,CYP,Gini index (World Bank estimate),SI.POV.GINI,31.7,32.1,31.5,32.6,34.3,37,35.6,34,32.9,31.4,,,
Czech Republic,CZE,Gini index (World Bank estimate),SI.POV.GINI,26.3,26.2,26.6,26.4,26.1,26.5,25.9,25.9,25.4,24.9,,,
Germany,DEU,Gini index (World Bank estimate),SI.POV.GINI,31.1,30.5,30.2,30.5,,31.1,,31.7,31.9,,,,
Djibouti,DJI,Gini index (World Bank estimate),SI.POV.GINI,,,,,45.1,44.1,,,,41.6,,,
Dominica,DMA,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Denmark,DNK,Gini index (World Bank estimate),SI.POV.GINI,25.2,26.7,27.2,27.3,27.8,28.5,28.4,28.2,28.2,28.7,,,
Dominican Republic,DOM,Gini index (World Bank estimate),SI.POV.GINI,48.1,48.9,47.3,47.7,46.1,47.7,44.3,45.2,45.7,42.2,43.7,,
Algeria,DZA,Gini index (World Bank estimate),SI.POV.GINI,,,,27.6,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Early-demographic dividend,EAR,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
East Asia & Pacific,EAS,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Europe & Central Asia,ECS,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Ecuador,ECU,Gini index (World Bank estimate),SI.POV.GINI,49.7,48.4,48.7,45.9,46.1,46.9,45,46,45,44.7,45.4,,
"Egypt, Arab Rep.",EGY,Gini index (World Bank estimate),SI.POV.GINI,31.1,,30.2,,28.3,,,31.8,,31.5,,,
Euro area,EMU,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Eritrea,ERI,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Spain,ESP,Gini index (World Bank estimate),SI.POV.GINI,34.2,34.9,35.2,35.7,35.4,36.2,36.1,36.2,35.8,34.7,,,
Estonia,EST,Gini index (World Bank estimate),SI.POV.GINI,31.9,31.4,32,32.5,32.9,35.1,34.6,32.7,31.2,30.4,,,
Ethiopia,ETH,Gini index (World Bank estimate),SI.POV.GINI,,,33.2,,,,,35,,,,,
European Union,EUU,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Finland,FIN,Gini index (World Bank estimate),SI.POV.GINI,27.8,27.5,27.7,27.6,27.1,27.2,26.8,27.1,27.1,27.4,,,
Fiji,FJI,Gini index (World Bank estimate),SI.POV.GINI,40.4,,,,,36.7,,,,,,,
France,FRA,Gini index (World Bank estimate),SI.POV.GINI,33,32.7,33.7,33.3,33.1,32.5,32.3,32.7,31.9,31.6,,,
Faroe Islands,FRO,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Gini index (World Bank estimate),SI.POV.GINI,,,,,,40.1,,,,,,,
Gabon,GAB,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,38,,,
United Kingdom,GBR,Gini index (World Bank estimate),SI.POV.GINI,34.1,34.3,34.4,33.2,32.3,33.2,34,33.2,34.8,,,,
Georgia,GEO,Gini index (World Bank estimate),SI.POV.GINI,38.5,38.2,39.5,39.6,39,38.6,37.6,36.5,36.6,37.9,36.4,,
Ghana,GHA,Gini index (World Bank estimate),SI.POV.GINI,,,,,42.4,,,,43.5,,,,
Gibraltar,GIB,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Guinea,GIN,Gini index (World Bank estimate),SI.POV.GINI,,,,,33.7,,,,,,,,
"Gambia, The",GMB,Gini index (World Bank estimate),SI.POV.GINI,,,43.6,,,,,35.9,,,,,
Guinea-Bissau,GNB,Gini index (World Bank estimate),SI.POV.GINI,,,50.7,,,,,,,,,,
Equatorial Guinea,GNQ,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Greece,GRC,Gini index (World Bank estimate),SI.POV.GINI,33.6,33.6,34.1,34.8,36.3,36.1,35.8,36,35,34.4,,,
Grenada,GRD,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
Greenland,GRL,Gini index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,
