Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,,,,,,,,,,,,,
Afghanistan,AFG,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,,,,,,,,,,,,,
Angola,AGO,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,,,2.762616,2.7,,2.2,1.8,,,,,,
Albania,ALB,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,3.100531778,3.572883268,4.027442854,4.2,3.7,3.3,3.4,3.534114198,3.5,4,,,
Andorra,AND,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,,,,,,,,,,,,,
Arab World,ARB,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,4.060046921,4.228831364,4.37010272,4.246666667,4.185714286,4.106666667,3.946666667,4.121353129,4.115384615,4.085714286,,,
United Arab Emirates,ARE,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,5.63621932,5.93724784,5.81013812,5.6,5.8,5.9,6,5.999221776,6,6,,,
Argentina,ARG,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,2.764512056,2.807062889,2.738363374,2.7,2.3,2.1,2,2.055629601,2.1,2.8,,,
Armenia,ARM,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,2.680395495,2.667135546,2.62111135,2.9,3.2,3.3,3.4,3.479620519,3.5,3.8,,,
American Samoa,ASM,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,,,,,,,,,,,,,
