Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,,,,,,,,,,,,,
Afghanistan,AFG,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,59.5,30.2,26.7,25.8,22.5,14.4,15.1,19,19.9,82.3,6.4,6.8,
Angola,AGO,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,196.8,151.1,226.6,163.1,143.1,130.1,118.8,17,20.7,17.4,13.9,11.1,
Albania,ALB,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,42.5,32.2,31.8,29.3,22.4,21.2,10.1,10.3,12.5,12,11.3,10.8,
Andorra,AND,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,,,,,,,,,,,,,
Arab World,ARB,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,53.05,45.84,48,46.195,38.4047619,35.08571429,32.86666667,38.78636364,38.28181818,33.61363636,34.56818182,27.79545455,
United Arab Emirates,ARE,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,11.6,11.1,12.6,13.4,11,11.4,11.3,11.2,13,13.4,22.8,17.2,
Argentina,ARG,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,12.8,16.1,20.7,17.7,15.4,23.2,17.7,11.4,10.8,10.4,5.3,5,
Armenia,ARM,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,3.6,2.6,3.1,2.9,2.5,1.1,1,1,0.9,0.9,0.8,0.8,
American Samoa,ASM,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,11.1,9.2,10.5,11.9,10.4,10,9.7,9.4,9.3,9.1,8.7,8,
Australia,AUS,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,
Austria,AUT,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,5.1,5.1,5.2,5.2,4.9,4.8,5.5,5.3,5.2,5.1,4.8,4.7,
Azerbaijan,AZE,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,4.3,2.9,3.1,2.7,2.3,1,3.1,1.7,1.9,1.6,1.3,1.2,
Burundi,BDI,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,206.7,145.7,124.3,116.8,18.3,17.5,13.4,13.4,13.9,33.9,10.7,12.3,
Belgium,BEL,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,5.5,5.6,5.7,5.5,5.3,5.3,5.2,5,5,5.6,5.4,5.3,
Benin,BEN,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,198.2,157.4,154.4,149.9,126.9,122.8,55.9,45.4,3.8,3.7,3.6,3.5,
Burkina Faso,BFA,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,62.3,50.5,49.9,47.7,46.8,44.5,44.7,43.5,43.4,42.6,43.3,42.8,
Bangladesh,BGD,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,,,,,,18.9,16.8,14,15.6,22.9,21.2,8.7,
Bulgaria,BGR,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,3,2.6,2.5,2.3,1.9,1.8,1.5,1.4,1.3,1.2,1.1,1,
Bahrain,BHR,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,0.6,0.5,0.6,0.9,0.8,1,0.8,0.8,1.2,1,1.1,1,
"Bahamas, The",BHS,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,9.8,8.5,10.7,10.6,10.3,10.4,10.2,10.8,13.8,13.8,11.4,11,
Bosnia and Herzegovina,BIH,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,31.6,16.3,28.9,27.9,25.6,25.6,25.2,23.9,22.9,16.1,14.9,13.7,
Belarus,BLR,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,8.3,2.1,2,1.6,2.5,0.9,0.9,0.9,0.6,0.6,0.5,0.5,
Belize,BLZ,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,36.5,35.3,35.8,36.5,36.7,35.4,34.3,34.2,34.6,34.6,34.7,34.3,
Bermuda,BMU,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,,,,,,,,,,,,,
Bolivia,BOL,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,106.2,93.7,95.2,85.4,70,67.6,60.8,51.1,49.7,46.6,39.2,37.3,
Brazil,BRA,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,,,,,,5.9,5.5,4.8,5.2,4.8,4.7,4.2,
Barbados,BRB,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,,,,7.6,7.2,7.2,7.6,7.1,7.7,7.6,7.3,7.3,
Brunei Darussalam,BRN,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,9.2,9.9,13.6,11.9,10.7,10,10.4,1.2,1.5,1.1,1.2,1.1,
Bhutan,BTN,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,7.2,6.8,6.1,6.1,6,4.8,4.2,4,3.8,3.9,3.5,3.7,
Botswana,BWA,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,1.7,1.4,1.5,1.1,0.8,0.9,0.8,0.7,0.8,0.7,0.6,0.6,
Central African Republic,CAF,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,237.6,223.7,208.8,156.5,154,144.7,200.4,181.3,186,154.7,143.4,127.8,
Canada,CAN,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,
Central Europe and the Baltics,CEB,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,5.663636364,5.063636364,5.054545455,4.954545455,4.445454545,4.372727273,3.909090909,3.5,3.654545455,2.890909091,2.736363636,2.609090909,
Switzerland,CHE,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,2.4,2.3,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,
Channel Islands,CHI,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,,,,,,,,,,,,,
Chile,CHL,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,10,9.4,9.3,7.6,7,5.9,5.9,5.9,5.9,5.9,5.7,2.7,
China,CHN,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,,,,,,1.9,0.9,1.7,1.6,1.5,1.2,1.1,
Cote d'Ivoire,CIV,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,135.1,133.3,133,132.6,130,44.4,20,18.6,18.9,16.5,2.7,2.7,
Cameroon,CMR,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,151.7,128.6,46.2,40.4,36,36.4,34.6,33,32.2,35.8,24.8,24.8,
"Congo, Dem. Rep.",COD,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,935.4,847.6,735.1,551.4,284.7,200.1,30,29.3,29.3,28.6,26.7,16.3,
"Congo, Rep.",COG,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,106.4,86.5,95.2,85.2,55.3,52.1,52.7,52.3,61.2,77.7,75.5,62.2,
Colombia,COL,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,14.9,13.1,14.7,8,7.6,7.5,7.5,14.3,14.1,14,14,14.1,
Comoros,COM,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,152.3,144.7,138.3,138,114.9,90.3,86.9,89.7,98.4,84.1,82.5,54.2,
Cabo Verde,CPV,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,35.7,17,18.5,17,14.9,13.5,14.3,14.8,14.7,15.4,14.4,13,
Costa Rica,CRI,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,11.4,10.5,10.1,9.8,15.8,11.9,11.5,11.1,9.1,8.6,9.5,9.6,
Caribbean small states,CSS,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,30.68333333,24.48333333,24.83333333,23.25384615,20.77692308,20.39230769,20.12307692,19.83846154,19.51538462,19.21538462,18.42307692,18.08461538,
Cuba,CUB,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,,,,,,,,,,,,,
Curacao,CUW,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,,,,,,,,,,,,,
Cayman Islands,CYM,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,,,,,,,,,,,,,
Cyprus,CYP,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,14.1,11.7,12.6,13.1,12.4,12.6,13,12.5,12.2,12.4,11.9,5.6,
Czech Republic,CZE,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,9.6,9.2,9.3,8.1,8.1,7,6.9,6.7,5.7,1,1,1.1,
Germany,DEU,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,5.6,4.7,4.8,4.6,4.9,4.8,8.8,6.9,6.7,6.8,6.5,6.5,
Djibouti,DJI,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,245.2,240.1,214.9,214.8,195.7,214.2,202.7,196.6,156,58.8,41.9,39.7,
Dominica,DMA,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,25.5,22.6,22,21.8,15.3,16.6,15.7,15,15.7,15.5,14.7,15.2,
Denmark,DNK,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,
Dominican Republic,DOM,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,19.4,21,20.5,19.3,18.3,17.3,16.9,15.3,14.8,14.5,14.1,13.7,
Algeria,DZA,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,10.8,12.1,12.9,12.1,12.1,12.4,11,10.9,11.1,12.5,11.8,11.3,
