Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,
Afghanistan,AFG,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,0.046360561,0.260193877,0.329456696,0.248972448,0.225927954,0.193162028,0.142361845,0.124470105,0.130028499,0.15486227,0.211648481,,
Angola,AGO,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,
Albania,ALB,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,1.537033296,1.048123475,1.071430221,0.942691591,0.956089826,1.067968032,1.119634371,1.321760184,1.356638413,1.513372433,1.52098682,,
Andorra,AND,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,
Arab World,ARB,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,
United Arab Emirates,ARE,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,1.577958361,1.234449745,1.396591166,1.921121884,2.104230245,2.381761898,2.77975471,2.562542152,2.599986897,2.762269254,3.04384049,,
Argentina,ARG,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,0.237290147,0.189666827,0.207609304,0.221108183,0.184657613,0.200203136,0.17202951,0.179440388,0.21074882,0.219978653,0.198629934,,
Armenia,ARM,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,1.676533346,1.288448943,1.262840166,1.316831703,1.587285001,1.578588385,1.569801926,1.729313221,1.73854898,2.204206895,3.052419852,,
American Samoa,ASM,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,3.189460912,2.172142275,3.226611227,2.732016948,1.93143409,2.757265553,3.046732184,3.209282232,3.346423605,3.89228812,3.30568578,,
