Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.783,43.421,43.059,42.94,42.957,42.99,43.041,43.108,43.192,43.293,43.411,43.546,
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.32,23.528,23.737,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,25.754,
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.282,59.034,59.783,60.528,61.268,62.002,62.731,63.446,64.149,64.839,65.514,66.177,
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,49.991,51.076,52.163,53.247,54.33,55.387,56.423,57.434,58.421,59.383,60.319,61.229,
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.004,88.912,88.819,88.726,88.631,88.537,88.441,88.345,88.248,88.15,88.062,87.984,
Arab World,ARB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.57907574,56.00977005,56.44087919,56.79194789,57.09853744,57.40093849,57.69248013,58.03146668,58.34527548,58.64148369,58.92541889,59.20164687,
United Arab Emirates,ARE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,83.387,83.742,84.087,84.423,84.749,85.066,85.375,85.674,85.965,86.248,86.522,86.789,
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,90.53,90.691,90.849,90.99,91.121,91.249,91.377,91.503,91.627,91.749,91.87,91.991,
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.64,63.54,63.44,63.34,63.24,63.164,63.112,63.085,63.082,63.103,63.149,63.219,
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.799,87.697,87.594,87.502,87.42,87.348,87.288,87.238,87.198,87.17,87.153,87.147,
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.405,26.818,26.238,25.703,25.526,25.35,25.175,25,24.846,24.713,24.599,24.506,
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,84.943,85.063,85.182,85.3,85.402,85.502,85.602,85.701,85.8,85.904,86.012,86.124,
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.966,57.683,57.399,57.115,57.147,57.336,57.526,57.715,57.905,58.094,58.297,58.515,
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,52.99,53.19,53.406,53.637,53.883,54.145,54.422,54.714,55.021,55.343,55.68,56.031,
Burundi,BDI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,10.118,10.376,10.642,10.915,11.194,11.482,11.776,12.078,12.388,12.706,13.032,13.366,
Belgium,BEL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,97.555,97.603,97.651,97.698,97.744,97.789,97.833,97.876,97.919,97.961,98.001,98.041,
