Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,563.1,563.6388889,564.8277778,566.9222222,569.7777778,573.1055556,576.5222222,579.6722222,582.6222222,585.3666667,588.0277778,,
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,42.46281898,43.49295867,44.70408204,46.13150293,47.73056398,49.42803817,51.11477805,52.7120715,54.19711424,55.59599302,56.93776001,,
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,17.40244967,18.05910083,18.73445576,19.42781824,20.13951311,20.86771477,21.61047485,22.3665525,23.13506377,23.91653806,24.71305206,,
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,107.5662044,106.8437591,106.314635,106.0290146,105.8540511,105.660292,105.4417518,105.135146,104.9671898,104.8706934,104.6122628,,
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,178.4297872,179.7085106,179.6787234,178.1851064,175.3765957,171.8595745,168.5382979,165.9808511,164.4617021,163.8319149,163.8425532,,
Arab World,ARB,Population density (people per sq. km of land area),EN.POP.DNST,30.11888656,30.85858053,31.59402067,32.3301223,33.06766985,33.80378527,34.53397836,35.25689695,35.96876451,36.66980425,37.37236563,,
United Arab Emirates,ARE,Population density (people per sq. km of land area),EN.POP.DNST,99.82381019,111.4808786,120.388454,125.9754576,128.7186145,129.511546,129.740566,130.4266404,131.8076598,133.5849479,135.6091101,,
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,14.6454878,14.79261005,14.90430155,15.0771516,15.2495427,15.42116023,15.59164538,15.76063274,15.92813508,16.09419079,16.2585101,,
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,102.1291886,101.4433439,101.0649456,101.0375132,101.3076572,101.7767475,102.2972603,102.75915,103.1312259,103.4355111,103.6802248,,
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,287.46,283.415,280.395,278.795,278.335,278.565,278.955,279.06,278.705,278.1,277.325,,
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,194.0840909,197.15,200.0636364,202.8477273,205.475,207.9909091,210.3681818,212.65,214.8340909,216.8772727,218.8318182,,
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,2.765994559,2.823594496,2.867858584,2.90798641,2.95920037,3.010573526,3.055814795,3.100112596,3.144935531,3.198361419,3.24787091,,
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,100.7713458,101.0356656,101.2874302,101.6417364,102.1148654,102.7471302,103.5633242,104.7307927,105.8694934,106.6074453,107.1279669,,
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,106.05976,108.2912879,109.5423494,110.9763389,112.4607929,113.9234754,115.3488166,116.7310795,118.033289,119.1972058,120.2343172,,
Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,316.4369938,327.0119938,337.8349688,348.8475857,360.0462617,371.506581,383.3448988,395.6397975,408.4111371,421.6130841,435.178271,,
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,353.6979194,356.555251,359.8278071,364.5397622,366.8075297,368.5405218,370.180218,372.3314399,374.2213342,375.6657199,377.3795905,,
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,77.12771373,79.32518624,81.58264455,83.90235899,86.28279532,88.72461866,91.22775807,93.79169918,96.41776339,99.10610145,101.8539198,,
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,53.69051535,55.34027047,57.03661184,58.77891447,60.56741959,62.40049342,64.27637792,66.19380117,68.15196637,70.15089181,72.19128289,,
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,1108.582369,1121.032473,1133.713068,1146.760221,1160.081486,1173.578213,1187.064354,1200.401598,1213.573327,1226.631274,1239.579312,,
Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,68.98592211,68.57445652,68.12453021,67.68909359,67.2981577,66.92257738,66.54327561,66.120035,65.65790346,65.18005711,64.71109985,,
