Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,77.24867725,82.20433713,87.61392849,87.46713409,90.54441261,86.745244,84.18181818,79.06620742,78.15031079,77.48126485,,,
Afghanistan,AFG,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,129.5271431,113.64344,114.5424053,109.2569752,98.96666497,95.62111643,95.18890258,97.05181964,95.04596686,92.84429464,92.70769061,91.91852195,
Angola,AGO,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,45.61059733,62.11067749,52.84009578,52.21825729,53.25225694,59.17479266,62.44240314,69.17683267,69.90647772,70.11831676,66.83601101,,
Albania,ALB,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,93.47268684,91.97202609,89.26665483,89.27359395,88.81169781,91.05489108,92.23924743,91.80542594,92.23036928,91.10642885,90.18194084,91.79462378,
Andorra,AND,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,,,,,,,,,,,,,
Arab World,ARB,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,,,,,,,,,,,,,
United Arab Emirates,ARE,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,65.67968423,62.52175002,52.2716208,48.35134333,41.87156369,44.92239243,47.20223823,47.84113597,48.72191857,50.51885299,50.12102496,52.19076619,
Argentina,ARG,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,76.70809674,78.88204443,79.39783265,79.9092778,81.54883692,82.79380332,82.33295546,84.0042171,83.37646965,83.98065761,81.17357317,79.64686244,
Armenia,ARM,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,84.68808716,96.8311216,98.30059378,99.91539846,98.07419288,99.1056094,97.63303903,91.19171473,90.75046867,92.34854501,93.25227979,96.940025,
American Samoa,ASM,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,,,,,,,,,,,,,
Australia,AUS,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,73.88256139,72.3922247,74.17836154,72.52654554,72.50606553,73.40023836,73.68194529,75.25398544,76.9034885,75.31280707,75.09200597,74.4563861,
Austria,AUT,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,71.09740674,74.16577855,73.99446307,73.27630732,73.32050559,73.57880672,73.19929663,72.44452256,71.97470997,71.70863713,71.0846986,70.84788,
