Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,49.10400009,48.9109993,48.78699875,48.99300003,49.27399826,49.45500183,49.65200043,49.85900116,50.0320015,50.20700073,50.4129982,50.46300125,50.51599884
Angola,AGO,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,77.70400238,77.78800201,77.83899689,77.95700073,78.01399994,78.06600189,78.08499908,78.09300232,78.11599731,78.08599854,78.03399658,77.99299622,77.94000244
Albania,ALB,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,62.3370018,62.1570015,62.14400101,63.22800064,64.43399811,60.51900101,61.54399872,64.33100128,65.14299774,65.9260025,66.19999695,66.45600128,66.74700165
Andorra,AND,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,
Arab World,ARB,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,50.35778157,50.581044,50.92006521,51.02154994,51.17774515,51.52039847,51.36059058,51.05181667,50.95786823,50.48667149,50.51099978,50.60254376,50.66296454
United Arab Emirates,ARE,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,81.89800262,83.20600128,84.26599884,84.08799744,83.80400085,83.55000305,83.48100281,83.64499664,83.16899872,82.99199677,82.80400085,82.83300018,82.96700287
Argentina,ARG,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,67.96199799,68.31800079,67.64499664,67.95600128,68.04199982,67.78099823,67.0530014,67.46900177,67.86000061,68.23200226,69.21299744,69.21299744,69.21199799
Armenia,ARM,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,61.625,61.95199966,64.76100159,66.2440033,66.57800293,66.89399719,66.17500305,65.46399689,64.26200104,64.06600189,64.21199799,64.44000244,64.63200378
American Samoa,ASM,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,
Australia,AUS,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,76.52500153,76.37400055,76.4509964,76.64900208,76.40699768,76.39700317,76.34200287,77.00700378,77.01999664,77.51399994,78.0719986,78.12999725,78.18499756
Austria,AUT,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,73.60199738,74.17199707,74.41799927,74.76699829,75.31900024,75.63999939,75.41999817,75.5059967,76.18399811,76.32700348,76.62999725,76.6190033,76.6269989
Azerbaijan,AZE,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,68.19200134,68.31099701,68.48300171,68.68699646,68.95800018,69.28700256,69.90399933,70.30400085,71.19499969,71.70600128,72.16100311,72.05799866,71.95300293
Burundi,BDI,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,79.89800262,79.62400055,79.41300201,79.24900055,79.13400269,79.03700256,78.91899872,79.28800201,79.58300018,79.7990036,79.93499756,79.93499756,79.88800049
Belgium,BEL,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,67.19999695,66.93900299,67.64900208,66.6230011,66.79199982,67.43900299,67.71700287,67.6780014,67.73000336,68.05899811,68.62599945,68.65000153,68.66300201
Benin,BEN,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,72.30799866,72.11199951,71.89900208,71.71800232,71.70899963,71.6760025,71.64900208,71.66000366,71.6740036,71.6740036,71.66200256,71.7559967,71.84899902
Burkina Faso,BFA,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,73.16500092,72.41699982,71.62400055,70.79799652,69.9240036,68.99900055,68.02100372,68.0039978,67.98300171,67.94799805,67.89700317,67.75800323,67.61399841
Bangladesh,BGD,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,58.63600159,58.5909996,58.54899979,58.54100037,58.54199982,58.54700089,58.54899979,58.54299927,58.53300095,61.23400116,61.37599945,61.4090004,61.45000076
Bulgaria,BGR,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,68.31400299,67.56500244,66.72200012,65.98500061,67.06700134,68.37400055,69.02600098,69.39900208,68.8030014,71.48200226,71.66799927,71.79199982,71.83899689
Bahrain,BHR,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,71.8690033,72.72699738,73.51699829,72.71800232,72.8259964,72.8789978,72.97299957,73.08499908,73.50499725,74.05899811,74.61799622,74.87599945,75.14900208
"Bahamas, The",BHS,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,79.69799805,79.57099915,79.5530014,79.55000305,79.67500305,79.78800201,79.91200256,80.03500366,80.08699799,80.17199707,80.26000214,80.35500336,80.45400238
Bosnia and Herzegovina,BIH,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,53.25699997,53.43299866,54.1590004,54.09000015,54.43399811,55.06700134,55.6269989,55.71699905,55.95000076,55.92499924,56.61800003,56.93399811,57.13800049
Belarus,BLR,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,74.35800171,74.69400024,75.06099701,75.49700165,75.95600128,76.41300201,76.82900238,77.1780014,77.46099854,77.73799896,78.19499969,78.15399933,78.10700226
Belize,BLZ,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,65.81999969,65.71900177,65.6309967,65.6190033,65.6289978,65.66200256,66.28299713,66.58799744,67.51799774,67.18800354,67.37599945,67.53299713,67.72200012
Bermuda,BMU,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,
Bolivia,BOL,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,73.91899872,74.06600189,74.08899689,74.04199982,71.06700134,71.18199921,73.375,68.98799896,69.82800293,71.0490036,74.05000305,73.93599701,73.83300018
Brazil,BRA,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,70.22799683,70.6289978,69.64600372,68.65299988,69.51100159,69.56300354,69.46600342,69.79699707,69.74199677,70.17199707,70.31400299,70.38899994,70.46499634
Barbados,BRB,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,79.28299713,78.96199799,78.62400055,78.63999939,77.61499786,78.16699982,76.60600281,77.14700317,77.78299713,77.77200317,77.73200226,77.63600159,77.57700348
