Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,
Afghanistan,AFG,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,8.920000076,9.906000137,10.82499981,11.61699963,12.64799976,13.5880003,14.53100014,15.48999977,16.50300026,17.54999924,17.60199928,17.67200089,17.75
Angola,AGO,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,31.64599991,30.48399925,29.30400085,28.10199928,28.33300018,28.55599976,28.77400017,28.98200035,29.18000031,29.37400055,29.56100082,29.74300003,29.92300034
Albania,ALB,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,39.82899857,42.07600021,43.29800034,38.92200089,36.93999863,40.48199844,41.56100082,41.01900101,41.90000153,42.80699921,43.73199844,44.63100052,45.54100037
Andorra,AND,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,
Arab World,ARB,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,64.03824149,64.58710008,65.62588185,65.84960245,66.7894763,66.99066418,67.20785466,67.94968658,69.70747668,69.35517844,69.34803924,69.41972357,69.493833
United Arab Emirates,ARE,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,95.81600189,95.92099762,96.04199982,96.19499969,96.3710022,96.55999756,96.72899628,96.93199921,97.05699921,96.52899933,96.02600098,96.05400085,96.09799957
Argentina,ARG,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,76.31700134,75.95700073,76.44300079,76.90299988,77.00499725,76.45300293,76.34700012,75.8730011,75.17199707,74.66000366,74.47100067,74.28700256,74.18499756
Armenia,ARM,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,57.34799957,56.86000061,56.86399841,55.56800079,56.48400116,57.20000076,55.86199951,57.20199966,58.04999924,59.6609993,59.88199997,60.10800171,60.3219986
American Samoa,ASM,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,
Australia,AUS,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,81.80699921,81.76100159,81.63400269,82.21199799,82.82499695,83.16400146,82.85900116,82.94200134,82.94999695,83.10099792,83.54399872,83.61299896,83.68299866
Austria,AUT,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,86.45700073,86.36100006,86.18699646,86.72399902,86.92700195,86.7990036,86.71199799,87.00299835,87.27899933,87.6230011,87.9940033,88.06999969,88.14800262
Azerbaijan,AZE,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,32.30500031,32.43199921,31.94499969,31.71199989,33.30799866,33.48699951,33.01599884,32.1629982,31.81500053,31.62400055,31.8029995,32.00400162,32.20800018
Burundi,BDI,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,5.230000019,5.248000145,5.274000168,5.296000004,5.318999767,5.346000195,5.368000031,5.346000195,5.342000008,5.342000008,5.34800005,5.346000195,5.343999863
Belgium,BEL,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,85.77500153,85.2009964,85.63899994,85.6989975,85.65399933,84.92099762,85.38700104,84.82099915,85.16400146,85.70700073,85.97100067,86.03600311,86.10199738
Benin,BEN,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,9.774000168,9.838999748,9.901000023,9.977999687,10.08199978,10.22000027,10.35099983,10.42500019,10.52799988,10.66100025,10.81299973,10.95899963,11.11200047
Burkina Faso,BFA,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,7.596000195,8.220000267,8.909999847,9.663000107,10.4659996,11.31000042,12.18200016,12.29300022,12.43799973,12.59300041,12.75399971,12.90299988,13.0539999
Bangladesh,BGD,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,36.72600174,37.18199921,37.65999985,38.12200165,38.54000092,38.88999939,39.16999817,39.35599899,39.40299988,39.49900055,39.94200134,40.36399841,40.77399826
Bulgaria,BGR,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,87.59600067,87.51999664,87.43099976,87.89099884,88.41400146,87.86199951,87.51399994,87.97200012,88.26899719,88.10099792,88.35099792,88.48000336,88.60500336
Bahrain,BHR,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,96.18099976,96.27100372,97.35600281,97.29599762,97.29499817,97.30699921,97.30999756,97.30500031,97.30200195,97.27999878,97.2440033,97.20500183,97.17900085
"Bahamas, The",BHS,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,86.57299805,86.56199646,86.17199707,85.70400238,85.83100128,85.77300262,85.94999695,85.66000366,85.80899811,85.85800171,85.90200043,85.92199707,85.93199921
Bosnia and Herzegovina,BIH,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,72.48500061,72.79199982,73.44100189,74.7480011,72.60800171,74.85800171,76.95500183,76.45999908,75.95800018,75.44400024,78.64299774,78.91400146,79.1760025
Belarus,BLR,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,95.83999634,95.85600281,95.8690033,95.8809967,95.89399719,95.90699768,95.91799927,95.93099976,95.94300079,95.6309967,95.8219986,95.82800293,95.83399963
Belize,BLZ,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,69.51499939,69.34799957,69.40799713,69.39800262,69.31500244,69.1760025,69.2519989,68.01100159,66.5039978,66.77799988,66.91699982,66.96499634,66.98799896
Bermuda,BMU,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,
Bolivia,BOL,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,37.48400116,36.66600037,35.79600143,34.89500046,34.00099945,33.08300018,32.17599869,31.29599953,30.39699936,31.13800049,31.46800041,31.86100006,32.25
Brazil,BRA,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,66.4469986,66.9469986,67.80999756,68.51100159,70.1230011,69.86599731,69.98799896,68.69599915,68.2460022,67.69599915,67.2480011,67.28900146,67.35299683
Barbados,BRB,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,84.32499695,83.89900208,83.75099945,83.61799622,83.43199921,83.21399689,83.24199677,83.31800079,83.38600159,83.37400055,83.31800079,83.30999756,83.32900238
Brunei Darussalam,BRN,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,92.83799744,92.71900177,92.53500366,92.31199646,92.11599731,91.90299988,91.66500092,91.59899902,91.40200043,91.08899689,91.1190033,91.15399933,91.20899963
Bhutan,BTN,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,29.6609993,30.21199989,30.89100075,28.88500023,29.1079998,28.9640007,28.90600014,27.07299995,27.47800064,27.80800056,28.08399963,28.42300034,28.80200005
Botswana,BWA,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,69.41999817,69.68800354,69.9509964,70.20500183,70.39099884,70.55799866,70.72399902,70.88999939,71.04699707,71.19999695,71.34700012,71.48899841,71.62599945
Central African Republic,CAF,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,7.144999981,7.221000195,7.276000023,7.335000038,7.407000065,7.132999897,7.165999889,7.225999832,7.287000179,7.34499979,7.40500021,7.462999821,7.52699995
Canada,CAN,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,84.42199707,83.90100098,84.19300079,84.54000092,84.64299774,84.56600189,84.69100189,84.62200165,84.68099976,84.75900269,84.66799927,84.72499847,84.78199768
Central Europe and the Baltics,CEB,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,79.27109469,78.92131757,78.11471104,78.62705696,78.88976315,79.31940579,79.72570924,80.56026195,81.36106464,81.61408035,81.95109939,82.17162992,82.36877043
Switzerland,CHE,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,84.12200165,84.75,84.27500153,84.59799957,84.69499969,84.66899872,84.73200226,85.13300323,84.94200134,85.14399719,85.2539978,85.34600067,85.44499969
Channel Islands,CHI,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,84.87599945,84.8219986,84.89900208,84.98000336,85.02899933,85.0739975,85.13500214,85.16100311,85.2009964,85.26999664,85.32099915,85.36799622,85.42099762
Chile,CHL,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,72.7539978,73.06900024,73.51000214,73.6230011,74.92299652,74.57700348,74.12799835,74.35099792,73.52600098,72.56800079,72.88600159,73.05200195,73.25800323
China,CHN,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,44.55799866,45.41899872,46.27999878,47.13299942,47.98199844,48.82799911,49.67100143,50.51100159,51.34600067,52.17699814,53,53.2519989,53.49900055
Cote d'Ivoire,CIV,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,21.6609993,21.79299927,21.90099907,21.83099937,22.18099976,23.4279995,23.97400093,24.51799965,25.02199936,26.60199928,26.9260006,27.25200081,27.57799911
Cameroon,CMR,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,18.92099953,19.47999954,20.06500053,20.66600037,21.27199936,21.89699936,22.52700043,22.72699928,22.89999962,23.04199982,23.19599915,23.34300041,23.49500084
"Congo, Dem. Rep.",COD,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,13.0909996,14.07600021,15.14799976,16.27499962,17.45700073,17.60400009,17.76799965,17.9090004,17.99099922,18.09000015,18.21699905,18.32299995,18.42200089
"Congo, Rep.",COG,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,22.04599953,22.22599983,22.42300034,22.51600075,22.62100029,22.72200012,22.89599991,22.97800064,22.91799927,22.8409996,22.86400032,22.94799995,23.00099945
Colombia,COL,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,49.32600021,47.18799973,46.60200119,46.45700073,46.8219986,47.66500092,48.48799896,48.94599915,48.8730011,48.90499878,48.61199951,48.79999924,48.99599838
Comoros,COM,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,30.22699928,30.32799911,30.44799995,30.57799911,30.68700027,30.82999992,30.9109993,30.96500015,31.04899979,31.15200043,31.26199913,31.31900024,31.46100044
Cabo Verde,CPV,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,58.20700073,58.40399933,58.6969986,59.04800034,59.27000046,59.45000076,59.60200119,59.77000046,60.11800003,60.42300034,60.79700089,61.12400055,61.45100021
Costa Rica,CRI,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,72.87000275,72.68199921,75.19000244,77.83499908,77.25700378,74.49900055,75.59899902,75.68699646,76.55899811,75.68800354,74.8710022,74.86799622,74.90599823
Caribbean small states,CSS,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,70.5331374,70.11045326,69.93916566,69.90421109,70.07049846,69.88574985,69.96177807,69.82680407,69.46177821,69.51422193,69.51596084,69.44444716,69.44726964
Cuba,CUB,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,87.83200073,88.34300232,88.17500305,81.46700287,79.49299622,78.3690033,76.91500092,75.61799622,74.3259964,73.09999847,73.2009964,73.30799866,73.42099762
Curacao,CUW,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,
Cayman Islands,CYM,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,
Cyprus,CYP,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,80.05400085,80.22499847,81.44799805,82.05400085,83.39700317,82.44200134,82.11199951,85.07099915,85.71800232,86.81199646,86.72100067,86.76799774,86.81500244
Czech Republic,CZE,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,83.87799835,83.23300171,82.27500153,81.94999695,81.58599854,82.13700104,82.00700378,82.66100311,82.83999634,82.87999725,83.05599976,83.1989975,83.34200287
Germany,DEU,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,88.34500122,88.40899658,88.42900085,88.33399963,88.42700195,88.80400085,89.04399872,89.24700165,89.57499695,89.80000305,90.09999847,90.15499878,90.21600342
Djibouti,DJI,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,50.1570015,50.22600174,50.37400055,50.64699936,50.86399841,51.08599854,51.38399887,51.70899963,52.03699875,52.30799866,52.59000015,52.89500046,53.20899963
Dominica,DMA,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,
Denmark,DNK,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,91.15499878,90.65299988,90.89600372,90.88700104,90.875,90.9960022,91.1230011,91.34899902,90.93800354,91.76300049,91.9240036,91.96099854,91.9980011
Dominican Republic,DOM,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,52.875,52.64300156,52.49399948,53.05199814,54.11299896,55.18700027,55.17300034,55.60200119,56.92599869,56.03499985,56.22999954,56.19200134,56.22999954
Algeria,DZA,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,66.88400269,67,67.04499817,67.02799988,68.02500153,68.96600342,68.80000305,68.62799835,68.4509964,68.26899719,68.33100128,68.38899994,68.44599915
East Asia & Pacific (excluding high income),EAP,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,42.82760546,43.62195622,44.41421454,45.33770446,46.3041605,47.22985278,48.04596426,49.19597733,50.01603584,50.72005849,51.26773082,51.54739157,51.82425256
Early-demographic dividend,EAR,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,33.60336467,33.83444985,34.39738838,35.515333,36.88589989,37.61234108,38.13711074,38.87422472,39.40006734,39.77962723,40.26302873,40.46855186,40.7179863
East Asia & Pacific,EAS,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,46.84938873,47.56156382,48.31599237,49.17609618,50.06780738,50.96043885,51.73523366,52.82992489,53.61652809,54.27965904,54.82619808,55.0864481,55.33367692
Europe & Central Asia (excluding high income),ECA,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,77.72275815,77.46368467,78.19476712,78.01141792,78.36485573,78.14768982,78.86401845,78.9885023,78.95673592,79.25781596,79.25317965,79.36187794,79.4322566
Europe & Central Asia,ECS,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,81.14401218,81.00289443,81.1438748,81.15376079,81.28441029,81.26447766,81.61965715,81.86816879,82.0030022,82.30931355,82.46698147,82.57448812,82.65207778
Ecuador,ECU,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,55.02199936,54.44400024,55.14599991,53.50699997,53.48699951,54.82600021,57.10599899,55.15499878,51.47399902,50.70700073,50.0870018,50.26800156,50.45199966
"Egypt, Arab Rep.",EGY,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,60.01399994,60.58599854,62.20500183,61.17399979,62.48899841,61.14099884,60.82899857,62.60100174,69.86399841,68.09500122,68.42099762,68.7460022,69.06500244
Euro area,EMU,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,83.9970334,84.01873491,83.96627984,84.11207566,84.12866286,84.188034,84.28671765,84.48208346,84.71476832,85.05062299,85.2947118,85.33276982,85.38057944
Eritrea,ERI,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,12.04500008,12.14500046,12.22500038,12.42599964,12.54100037,12.42000008,13.02600002,12.65499973,12.84500027,12.72000027,13,13.11999989,13.24699974
Spain,ESP,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,82.43000031,83.17199707,83.31999969,83.60900116,82.69599915,82.14099884,82.40699768,82.71900177,83.05899811,83.51399994,84.02999878,84.08200073,84.1309967
Estonia,EST,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,92.06099701,91.58899689,91.46099854,91.27600098,91.14099884,90.86199951,90.88999939,90.57700348,90.43299866,89.80000305,89.28500366,89.40299988,89.51599884
Ethiopia,ETH,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,9.798000336,10.15400028,10.56099987,10.97299957,11.3760004,11.81700039,12.08899975,12.37300014,12.65499973,12.94699955,13.20300007,13.46399975,13.72599983
European Union,EUU,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,82.99813637,82.96987756,82.75257297,82.99327318,83.05078981,83.20258908,83.37908338,83.72380441,84.08865525,84.41075829,84.68072141,84.76580714,84.85103057
