Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.725,74.872,75.017,75.158,75.299,75.441,75.583,75.725,75.868,76.01,76.152,,
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.93,60.484,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486,,
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.243,54.311,55.35,56.33,57.236,58.054,58.776,59.398,59.925,60.379,60.782,,
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.912,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458,,
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.94217427,70.15756004,70.34991623,70.5287748,70.7038266,70.88225372,71.06429242,71.24957141,71.43649685,71.62252635,71.80682516,,
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.957,76.145,76.332,76.521,76.711,76.903,77.095,77.285,77.47,77.647,77.814,,
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,,
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.946,73.118,73.331,73.572,73.82,74.056,74.273,74.467,74.64,74.797,74.945,,
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.535,75.683,75.823,75.956,76.087,76.218,76.349,76.483,76.617,76.752,76.885,,
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049,,
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64390244,81.69268293,,
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.201,70.597,70.938,71.234,71.506,71.768,72.022,72.266,72.493,72.693,72.864,,
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.721,56.488,57.228,57.925,58.568,59.148,59.665,60.123,60.528,60.898,61.247,,
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.6804878,80.03414634,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.49268293,81.59512195,,
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.654,59.009,59.318,59.59,59.842,60.092,60.345,60.608,60.885,61.174,61.47,,
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.618,56.377,57.096,57.761,58.374,58.937,59.45,59.919,60.354,60.768,61.174,,
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.072,69.485,69.881,70.256,70.606,70.93,71.231,71.514,71.785,72.052,72.32,,
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.96341463,73.41219512,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.61463415,74.81219512,74.81463415,74.96341463,,
