Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,27084.70369,24630.45371,23512.6026,24985.99328,24713.69805,26189.43551,26647.9381,27980.8807,28281.35048,29007.693,,,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,364.6607448,438.0760344,543.3030419,591.162759,641.8714792,637.1655232,613.8566892,578.4663529,547.2281102,556.3020024,524.1628809,502.1154869,
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,4080.94141,3122.780766,3587.883798,4615.468028,5100.095808,5254.882338,5408.410496,4166.979684,3506.072885,4095.812942,3289.646664,2973.59116,
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4370.540127,4114.140114,4094.350334,4437.142885,4247.629984,4413.060861,4578.631994,3952.801215,4124.055726,4531.020806,5284.380184,5352.857411,
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,48718.49687,43503.18552,40852.66678,43335.32886,38686.46126,39538.76672,41303.92937,35762.52307,37474.66541,38962.88035,41793.05526,40886.39116,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,6146.391727,5176.528324,5934.290684,6867.692047,7465.151651,7519.80826,7457.461109,6387.660615,6097.239025,6102.211067,6603.35119,6580.056257,
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,44498.93423,32024.1816,33893.30351,39194.67662,40976.49971,42412.63028,43751.83889,38663.38381,38141.84676,40644.80404,43839.35635,43103.32306,
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,9020.873098,8225.137176,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14591.86338,11683.94962,10006.14897,
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4010.857243,2994.342544,3218.372707,3525.804747,3681.857456,3838.185801,3986.231624,3607.296697,3591.829276,3914.501268,4220.490277,4622.733493,
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,9792.666806,11961.25823,10271.22452,10294.30227,11568.793,11505.39371,11507.23235,11843.33118,11696.95556,10823.4448,11466.69071,,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,16024.34555,14113.07726,13049.25705,12746.20502,13272.44133,12909.74418,13501.58092,14286.09316,15197.61746,15383.41519,16726.98081,17790.30931,
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,49601.65671,42772.35917,52022.1256,62517.83375,68012.1479,68150.10704,62510.79117,56755.72171,49971.13146,54066.47127,57395.91947,54907.10191,
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,51708.76575,47963.1794,46858.04327,51374.95841,48567.69529,50716.70871,51717.49594,44178.04738,45237.80509,47549.07904,51525.04643,50277.27509,
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,5574.603802,4950.294791,5842.805784,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4793.58702,
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,198.3529006,212.1368804,234.2356469,249.5779794,252.3589799,256.9760028,274.8579479,305.5497728,282.1931304,292.9976307,271.7520444,261.2474725,
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,48106.89292,44583.54481,44141.87814,47348.52502,44673.11588,46744.66254,47700.54036,40991.80814,41998.33575,44288.50804,47491.32326,46116.69923,
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1120.888273,1084.3939,1036.533952,1130.273132,1145.140811,1251.210518,1291.409808,1076.797716,1087.287832,1136.592847,1240.829464,1219.432672,
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,640.8108774,621.6731034,647.8358465,751.1729572,758.0007014,787.4701763,792.8467784,653.3269795,687.670175,738.2741589,820.1607938,774.8396902,
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,634.9870565,702.26441,781.1535936,861.7584443,883.1050005,981.8398792,1118.853663,1248.453398,1401.620466,1563.913857,1698.350394,1855.739824,
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,7265.735497,6984.965976,6809.898984,7806.348652,7393.189177,7651.817881,7874.260904,7053.603706,7545.790332,8331.058025,9423.558612,9737.601351,
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,23066.53376,19355.90467,20722.13729,22514.23795,23654.35139,24744.29696,24989.40012,22688.9444,22619.11667,23709.43047,23991.05668,23503.97713,
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,30627.23863,28552.19048,28443.40766,28006.37972,29485.62093,28768.02989,29445.03053,31405.96356,31588.835,31827.2427,32217.87159,32933.48601,
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,5090.932345,4714.702495,4635.517779,5092.551943,4778.636088,5131.394506,5329.635045,4727.277546,4994.68314,5394.59122,6072.180992,6073.265203,
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6377.369732,5351.355382,6029.3968,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,5022.626643,5761.74712,6330.075246,6663.295293,
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4404.330836,4186.489965,4270.864345,4423.489797,4505.621302,4568.502958,4705.60269,4775.955648,4818.403909,4887.577208,4884.734162,4815.163711,
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,93605.74817,88463.31282,88207.32756,85973.15842,85458.45551,85748.06541,,,,,,,
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,1715.208922,1754.211061,1955.461557,2346.33717,2609.880819,2908.200085,3081.878834,3035.972215,3076.658949,3351.12404,3548.590153,3552.068762,
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8831.023117,8597.915352,11286.24302,13245.6125,12370.0242,12300.32488,12112.58821,8814.000987,8710.09669,9925.386238,9001.234249,8717.186278,
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,17092.58214,15885.57971,16056.37098,16458.35321,16249.55939,16451.16358,16489.07224,16525.07325,16900.16655,17391.42587,17745.19346,18148.24493,
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,37934.37651,27955.71386,35269.55311,47055.84112,47740.5149,44740.08502,41726.78397,31164.56203,27157.82341,28572.14678,31628.32879,31086.75108,
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,1828.149233,1819.213401,2258.183141,2563.257527,2538.9459,2472.714309,2652.214589,2752.664208,2930.562989,3286.574703,3243.231126,,
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,5713.534983,5255.768461,6434.815657,7617.325094,7070.37655,7224.965172,7780.638385,6799.875234,7243.852997,7893.210108,8279.601365,7961.33814,
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,464.5614221,474.7054087,488.4214018,551.7500966,565.800697,380.2981676,424.4487513,377.4230017,402.1912906,450.900245,475.9536099,467.9074406,
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,46594.45095,40773.06153,47448.01322,52087.44638,52678.39012,52652.59368,50893.44671,43585.51198,42322.48478,45148.55271,46313.17137,46194.72523,
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,14576.99141,12293.39198,12576.04184,13889.38578,13015.82872,13718.09775,14161.9073,12493.71382,12792.51412,14198.12986,15966.66834,16184.33201,
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,72487.84593,69927.46877,74605.72102,88415.62806,83538.23008,85112.4644,86605.56338,82081.59712,80172.23207,80449.99456,82818.10816,81993.72715,
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,10751.47967,10208.90676,12808.03459,14637.24024,15351.55133,15842.94081,14670.99676,13574.17183,13753.59444,14999.37009,15924.79424,14896.45387,
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,3468.304463,3832.235952,4550.453596,5618.132491,6316.918863,7050.64592,7678.599432,8066.942424,8147.938148,8879.438149,9976.676822,10261.67913,
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,1235.613366,1210.295426,1213.112645,1208.583026,1243.273487,1415.871758,1561.463655,1972.546108,2013.382462,2111.027076,2302.612951,2286.162777,
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1371.746708,1314.706015,1286.515572,1405.094392,1354.545613,1465.638843,1542.620266,1327.503017,1364.33011,1425.107818,1534.491274,1497.909176,
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,327.5637218,298.6196821,334.0215726,387.0824654,424.6003861,457.9637283,486.7870819,497.3169608,471.3188404,467.0742375,557.0644183,545.2162123,
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2956.264407,2314.266025,2812.435974,3286.694535,3032.493883,3047.930773,2996.918026,1762.032018,1815.295843,1767.894521,2223.854479,2011.072399,
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,5472.536133,5193.241451,6336.709214,7335.11051,8050.058414,8218.033996,8114.084069,6175.876132,5871.223575,6377.851363,6718.585324,6432.387583,
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1387.594626,1339.337191,1316.498848,1447.963587,1403.34862,1505.349473,1513.830379,1242.60319,1273.058953,1323.81159,1415.955313,1393.522372,
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3721.250949,3517.401245,3378.25486,3740.389099,3447.524041,3615.979041,3588.674054,3043.013984,3130.963385,3292.645755,3617.327488,3603.781794,
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,6859.079022,6760.477515,8141.913127,9121.932518,9913.209959,10490.08133,10547.15186,11299.13554,11666.45591,11814.62657,12112.13442,12238.37496,
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,10059.83315,8411.007673,9086.894793,9762.053463,10017.38359,10140.16594,10202.27477,9939.801206,9384.914524,9557.517493,9982.268089,10307.58628,
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,5411.271418,5529.67036,5730.354775,6139.71933,6497.321113,6837.712892,7133.342095,7694.01192,8060.795886,8541.210673,8821.818891,,
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,20146.38641,20587.39736,20462.71795,20258.00969,19951.3279,19555.36585,19457.53152,19573.89265,,
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,85187.84024,77398.01584,73350.78482,72328.41164,72783.32044,73515.89532,74990.43322,76280.48625,78296.09993,81124.51348,85477.28701,,
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,35397.36368,32109.24251,31023.63833,32396.38574,28912.15694,27729.1927,27129.62612,23333.71491,24532.51906,26338.69434,28689.70672,27858.371,
