Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,"2,745,251,397.00","2,498,882,682.00","2,390,502,793.00","2,549,720,670.00","2,534,636,872.00","2,701,675,978.00","2,765,363,128.00","2,919,553,073.00","2,965,921,788.00","3,056,424,581.00",,,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,"10,109,225,814.00","12,439,087,077.00","15,856,574,731.00","17,804,292,964.00","20,001,598,506.00","20,561,069,558.00","20,484,885,120.00","19,907,111,419.00","19,362,642,267.00","20,191,760,000.00","19,484,384,937.00","19,101,353,833.00",
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,"88,538,611,205.00","70,307,163,678.00","83,799,496,611.00","111,790,000,000.00","128,053,000,000.00","136,710,000,000.00","145,712,000,000.00","116,194,000,000.00","101,124,000,000.00","122,124,000,000.00","101,353,000,000.00","94,635,415,870.00",
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,"12,881,354,104.00","12,044,223,353.00","11,926,928,506.00","12,890,765,324.00","12,319,830,252.00","12,776,217,195.00","13,228,144,008.00","11,386,846,319.00","11,861,200,797.00","13,019,693,451.00","15,147,020,535.00","15,278,077,447.00",
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,"4,085,630,584.00","3,674,409,558.00","3,449,966,857.00","3,629,203,786.00","3,188,808,943.00","3,193,704,343.00","3,271,808,157.00","2,789,870,188.00","2,896,679,212.00","3,000,180,750.00","3,218,316,013.00","3,154,057,987.00",
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,"2,079,910,000,000.00","1,794,340,000,000.00","2,106,020,000,000.00","2,494,060,000,000.00","2,772,880,000,000.00","2,855,310,000,000.00","2,892,810,000,000.00","2,529,690,000,000.00","2,463,430,000,000.00","2,513,490,000,000.00","2,772,020,000,000.00","2,815,410,000,000.00",
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,"315,475,000,000.00","253,547,000,000.00","289,787,000,000.00","350,666,000,000.00","374,591,000,000.00","390,108,000,000.00","403,137,000,000.00","358,135,000,000.00","357,045,000,000.00","385,606,000,000.00","422,215,000,000.00","421,142,000,000.00",
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,"361,558,000,000.00","332,976,000,000.00","423,627,000,000.00","530,163,000,000.00","545,982,000,000.00","552,025,000,000.00","526,320,000,000.00","594,749,000,000.00","557,531,000,000.00","642,696,000,000.00","519,872,000,000.00","449,663,000,000.00",
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,"11,662,040,714.00","8,647,936,748.00","9,260,284,938.00","10,142,111,334.00","10,619,320,049.00","11,121,465,767.00","11,609,512,940.00","10,553,337,673.00","10,546,135,160.00","11,527,458,566.00","12,457,941,907.00","13,672,802,158.00",
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,"563,000,000.00","678,000,000.00","576,000,000.00","574,000,000.00","644,000,000.00","641,000,000.00","642,000,000.00","661,000,000.00","652,000,000.00","602,000,000.00","636,000,000.00",,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,"1,368,431,037.00","1,224,253,000.00","1,148,700,000.00","1,137,637,037.00","1,199,948,148.00","1,181,448,148.00","1,249,733,333.00","1,336,692,593.00","1,436,585,185.00","1,467,977,778.00","1,610,574,074.00","1,727,759,259.00",
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,"1,054,000,000,000.00","927,805,000,000.00","1,146,140,000,000.00","1,396,650,000,000.00","1,546,150,000,000.00","1,576,180,000,000.00","1,467,480,000,000.00","1,351,690,000,000.00","1,208,850,000,000.00","1,330,140,000,000.00","1,433,900,000,000.00","1,392,680,000,000.00",
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,"430,294,000,000.00","400,172,000,000.00","391,893,000,000.00","431,120,000,000.00","409,425,000,000.00","430,069,000,000.00","441,996,000,000.00","381,818,000,000.00","395,228,000,000.00","418,316,000,000.00","455,508,000,000.00","446,315,000,000.00",
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,"48,852,482,960.00","44,291,490,421.00","52,902,703,376.00","65,951,627,200.00","69,683,935,845.00","74,164,435,946.00","75,244,294,275.00","53,074,370,486.00","37,867,518,957.00","40,865,558,912.00","47,112,941,176.00","48,047,647,059.00",
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,"1,611,835,902.00","1,781,455,092.00","2,032,135,247.00","2,235,820,868.00","2,333,308,099.00","2,451,625,333.00","2,705,783,272.00","3,104,394,858.00","2,959,640,987.00","3,172,292,379.00","3,036,931,818.00","3,012,334,882.00",
