Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD," 495,007,262.60 "," 404,204,469.30 ",,,,,,,,,,,
Afghanistan,AFG,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD," 2,720,961,614.00 "," 2,723,802,099.00 "," 3,353,890,830.00 "," 4,048,741,173.00 "," 4,231,899,640.00 "," 4,203,629,519.00 "," 4,348,872,122.00 "," 4,404,257,789.00 "," 4,225,552,558.00 "," 4,467,965,941.00 "," 4,341,103,740.00 "," 4,219,308,232.00 ",
Angola,AGO,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD," 53,348,780,923.00 "," 30,974,788,504.00 "," 43,884,484,820.00 "," 62,631,865,168.00 "," 72,885,404,631.00 "," 72,952,284,482.00 "," 67,323,882,302.00 "," 48,723,590,535.00 "," 43,122,816,969.00 "," 51,497,116,673.00 "," 48,580,166,009.00 ",,
Albania,ALB,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD," 3,241,080,117.00 "," 2,940,434,690.00 "," 2,974,273,861.00 "," 3,156,227,514.00 "," 2,823,522,012.00 "," 2,946,366,491.00 "," 2,845,222,696.00 "," 2,478,194,800.00 "," 2,507,688,342.00 "," 2,650,602,351.00 "," 3,223,894,704.00 "," 3,064,373,587.00 ",
Andorra,AND,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,
Arab World,ARB,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD," 1,126,170,000,000.00 "," 834,433,000,000.00 "," 1,025,760,000,000.00 "," 1,367,660,000,000.00 "," 1,494,070,000,000.00 "," 1,490,360,000,000.00 "," 1,464,190,000,000.00 "," 1,039,190,000,000.00 "," 969,569,000,000.00 "," 1,053,040,000,000.00 "," 1,250,260,000,000.00 "," 1,236,830,000,000.00 ",
United Arab Emirates,ARE,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD," 183,032,000,000.00 "," 131,959,000,000.00 "," 152,228,000,000.00 "," 203,511,000,000.00 "," 215,199,000,000.00 "," 214,583,000,000.00 "," 212,714,000,000.00 "," 157,199,000,000.00 "," 147,991,000,000.00 "," 164,170,000,000.00 "," 198,580,000,000.00 "," 194,401,000,000.00 ",
Argentina,ARG,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD," 94,990,190,458.00 "," 84,190,456,294.00 "," 107,003,000,000.00 "," 133,668,000,000.00 "," 133,378,000,000.00 "," 132,519,000,000.00 "," 127,777,000,000.00 "," 137,703,000,000.00 "," 122,959,000,000.00 "," 140,552,000,000.00 "," 119,400,000,000.00 "," 104,016,000,000.00 ",
Armenia,ARM,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,," 2,955,048,237.00 "," 2,970,437,646.00 "," 2,933,785,792.00 "," 2,713,125,863.00 "," 2,697,399,020.00 "," 2,975,183,151.00 "," 3,084,157,595.00 "," 3,320,768,179.00 ",
American Samoa,ASM,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,
