Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,,,,,,,,,,
Afghanistan,AFG,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,80.20579539,90.30411042,86.64020022,96.03564661,89.12600663,113.6669608,78.3320313,74.25613139,81.20330282,78.24698404,94.70398056,99.50836099,
Angola,AGO,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,89.23223042,51.41546084,99.93320509,102.7823447,99.13242894,84.9691418,83.29612224,51.0635058,67.1746036,81.55590401,88.53289735,,
Albania,ALB,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,95.24650845,98.70567569,88.32078223,,,,95.67362378,94.48004286,95.90584075,101.3905077,95.79095458,94.67263562,
Andorra,AND,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,,,,,,,,,,
Arab World,ARB,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,,,,,,,,,,
United Arab Emirates,ARE,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,,,,,,,,,,
Argentina,ARG,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,106.8525318,119.3106269,118.4355032,111.2254285,119.4400704,132.1207056,114.3796775,135.0613097,108.4760834,114.5957948,,
Armenia,ARM,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,98.60351641,98.27159969,102.0087066,98.54702513,96.35336313,99.1558708,99.08667901,107.9194988,105.2339091,110.6380836,98.76347566,98.4831332,
American Samoa,ASM,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,89.35260116,73.70234987,83.61084354,90.74190506,89.15438324,,,,,,,,
Australia,AUS,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,,,,,,,,,,
Austria,AUT,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,,,,,,,,,,
Azerbaijan,AZE,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,126.4744274,85.01706192,95.85036618,120.7838249,102.0176429,97.7706333,93.25125355,84.28672986,109.1447368,104.112426,108.0058916,96.88289004,
Burundi,BDI,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,124.9012114,105.2990206,99.52112194,,,,,,,,,,
Belgium,BEL,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,,,,,,,,,,
Benin,BEN,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,93.15310655,86.55771549,72.04376224,70.62888714,78.19874952,82.2520612,78.56294475,,,,,,
Burkina Faso,BFA,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,83.63456615,102.5102429,94.64073979,98.07985964,96.04839831,91.9866612,84.96895104,85.48324716,95.81525247,,,,
Bangladesh,BGD,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,93.98898325,88.0962385,89.27253558,97.04925475,93.17806712,90.75310316,84.59256596,95.66883558,89.65096577,93.11822906,92.81217209,95.2579805,
Bulgaria,BGR,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,90.91459481,68.11312723,97.09769402,90.07902924,93.33878992,92.40071191,83.55078125,91.89136274,92.31058531,92.82259667,98.21322157,95.50307469,
Bahrain,BHR,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,,,,,,,,,,
"Bahamas, The",BHS,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,89.56470473,91.57675938,100,,,,,,,,,
Belarus,BLR,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,98.05364348,131.2310829,112.5812083,88.77834374,95.47801608,107.8899408,102.4966344,101.5592329,99.8835502,95.97834493,
Belize,BLZ,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,98.27030196,104.0780142,96.875,,,,,,,
Bermuda,BMU,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,,,,,,,,,,
Bolivia,BOL,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,115.1299716,,,,,,,,,,,,
Brazil,BRA,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,91.07667177,87.16498461,89.00473193,87.92281186,86.60648073,86.45067196,88.52429689,88.74640629,96.09116217,91.0049479,92.51841111,94.28211787,
Barbados,BRB,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,,,,,,,,,,
Brunei Darussalam,BRN,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,,,,,,,,,,
Bhutan,BTN,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,91.74684305,,,,,105.8322468,95.83541009,98.32605531,94.38263564,96.30379395,97.26438129,,
Botswana,BWA,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,,,,,,,,,,
Central African Republic,CAF,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,51.30016295,58.47418395,,,,,,,,,,,
Canada,CAN,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,,,,,,,,,,
Switzerland,CHE,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,110.1414763,99.78889941,98.3592179,99.63627345,97.76848565,98.28537434,97.10442113,98.05520465,99.31941354,99.27398974,99.3547002,98.75471527,
Channel Islands,CHI,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,,,,,,,,,,
Chile,CHL,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,106.9502182,105.2659077,107.3691344,102.7252979,100.3757377,106.5749519,104.7981145,131.4706375,103.9507401,109.5647912,107.8007099,
China,CHN,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,,,,,,,,,,,,,
