Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,
Afghanistan,AFG,Interest payments (current LCU),GC.XPN.INTP.CN," 103,089,253.00 "," 108,627,501.00 "," 86,638,122.74 "," 91,977,758.00 "," 118,236,274.20 "," 268,060,864.00 "," 351,774,772.00 "," 676,278,879.00 "," 580,470,975.00 "," 676,617,776.00 ",,,
Angola,AGO,Interest payments (current LCU),GC.XPN.INTP.CN," 135,479,000,000.00 "," 104,791,000,000.00 "," 115,831,000,000.00 "," 81,456,387,937.00 "," 102,804,000,000.00 "," 99,104,966,331.00 "," 147,161,000,000.00 "," 248,469,000,000.00 "," 356,490,000,000.00 "," 548,315,000,000.00 ",,,
Albania,ALB,Interest payments (current LCU),GC.XPN.INTP.CN,,,," 40,907,370,000.00 "," 41,277,240,000.00 "," 43,133,460,000.00 "," 39,742,070,000.00 "," 38,526,250,000.00 "," 36,197,910,000.00 "," 31,768,690,000.00 "," 36,513,390,000.00 ",,
Andorra,AND,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,
Arab World,ARB,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,
United Arab Emirates,ARE,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,
Argentina,ARG,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,," 87,281,800,000.00 "," 109,811,000,000.00 "," 245,357,000,000.00 "," 243,839,000,000.00 "," 430,528,000,000.00 ",,
Armenia,ARM,Interest payments (current LCU),GC.XPN.INTP.CN," 11,053,766,570.00 "," 16,281,591,800.00 "," 30,436,021,340.00 "," 35,532,215,290.00 "," 40,666,765,520.00 "," 46,745,897,050.00 "," 61,644,111,250.00 "," 74,084,107,100.00 "," 98,276,372,290.00 "," 122,110,000,000.00 "," 139,015,000,000.00 ",,
American Samoa,ASM,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,
Australia,AUS,Interest payments (current LCU),GC.XPN.INTP.CN," 4,199,000,000.00 "," 4,784,000,000.00 "," 7,004,000,000.00 "," 9,997,000,000.00 "," 12,989,000,000.00 "," 13,050,000,000.00 "," 13,694,000,000.00 "," 15,349,000,000.00 "," 16,165,000,000.00 "," 16,688,000,000.00 "," 17,768,000,000.00 "," 17,966,000,000.00 ",
Austria,AUT,Interest payments (current LCU),GC.XPN.INTP.CN," 8,040,800,000.00 "," 8,682,550,000.00 "," 8,322,050,000.00 "," 8,387,860,000.00 "," 8,495,440,000.00 "," 8,224,500,000.00 "," 7,918,740,000.00 "," 7,850,150,000.00 "," 7,287,050,000.00 "," 6,683,710,000.00 "," 6,125,020,000.00 ",,
Azerbaijan,AZE,Interest payments (current LCU),GC.XPN.INTP.CN," 32,700,000.00 "," 78,700,000.00 "," 39,500,000.00 "," 169,600,000.00 "," 90,200,000.00 "," 154,500,000.00 "," 84,200,000.00 "," 211,400,000.00 "," 614,100,000.00 "," 495,200,000.00 "," 769,400,000.00 ",,
Burundi,BDI,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,
Belgium,BEL,Interest payments (current LCU),GC.XPN.INTP.CN," 12,485,000,000.00 "," 11,794,100,000.00 "," 11,525,100,000.00 "," 11,946,800,000.00 "," 12,309,800,000.00 "," 11,728,200,000.00 "," 11,747,700,000.00 "," 10,876,800,000.00 "," 10,347,200,000.00 "," 9,324,800,000.00 "," 8,648,400,000.00 ",,
Benin,BEN,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,
Burkina Faso,BFA,Interest payments (current LCU),GC.XPN.INTP.CN," 12,693,275,000.00 "," 16,870,967,228.00 "," 21,354,239,663.00 "," 28,291,579,336.00 "," 41,805,614,512.00 "," 34,755,278,004.00 "," 44,011,188,207.00 "," 43,752,144,897.00 "," 65,300,000,000.00 "," 69,515,113,978.00 "," 97,240,452,243.00 ",,
